instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,season,weathersit,day_type,usage_category
1,2011-01-01,1,0,1,0,0,6,0,1,9.84,0.2879,81.0,0.0,3,13,16,spring,Clear Cloudy,Weekend,Low Usage
2,2011-01-01,1,0,1,1,0,6,0,1,9.02,0.2727,80.0,0.0,8,32,40,spring,Clear Cloudy,Weekend,Low Usage
3,2011-01-01,1,0,1,2,0,6,0,1,9.02,0.2727,80.0,0.0,5,27,32,spring,Clear Cloudy,Weekend,Low Usage
4,2011-01-01,1,0,1,3,0,6,0,1,9.84,0.2879,75.0,0.0,3,10,13,spring,Clear Cloudy,Weekend,Low Usage
5,2011-01-01,1,0,1,4,0,6,0,1,9.84,0.2879,75.0,0.0,0,1,1,spring,Clear Cloudy,Weekend,Low Usage
6,2011-01-01,1,0,1,5,0,6,0,2,9.84,0.2576,75.0,6.0032,0,1,1,spring,Mist Cloudy,Weekend,Low Usage
7,2011-01-01,1,0,1,6,0,6,0,1,9.02,0.2727,80.0,0.0,2,0,2,spring,Clear Cloudy,Weekend,Low Usage
8,2011-01-01,1,0,1,7,0,6,0,1,8.200000000000001,0.2576,86.0,0.0,1,2,3,spring,Clear Cloudy,Weekend,Low Usage
9,2011-01-01,1,0,1,8,0,6,0,1,9.84,0.2879,75.0,0.0,1,7,8,spring,Clear Cloudy,Weekend,Low Usage
10,2011-01-01,1,0,1,9,0,6,0,1,13.120000000000001,0.3485,76.0,0.0,8,6,14,spring,Clear Cloudy,Weekend,Low Usage
11,2011-01-01,1,0,1,10,0,6,0,1,15.58,0.3939,76.0,16.997899999999998,12,24,36,spring,Clear Cloudy,Weekend,Low Usage
12,2011-01-01,1,0,1,11,0,6,0,1,14.76,0.3333,81.0,19.0012,26,30,56,spring,Clear Cloudy,Weekend,Medium Usage
13,2011-01-01,1,0,1,12,0,6,0,1,17.22,0.4242,77.0,19.0012,29,55,84,spring,Clear Cloudy,Weekend,Medium Usage
